#,Product Name,Brand,Sale Price,Original Price,Discount (%),Rating,Product URL,Image URL
1,Directory,General,Service / Category,—,—,—,https://hipages.com.au/find,—
2,Cost Guides,General,Service / Category,—,—,—,https://hipages.com.au/c/cost,—
3,Resources,General,Service / Category,—,—,—,https://hipages.com.au/articles,—
4,Calculators,General,Service / Category,—,—,—,https://hipages.com.au/calculators,—
5,Energy,General,Service / Category,—,—,—,https://hipages.com.au/energy,—
6,FAQs,For homeowners,Service / Category,—,—,—,https://hipages.com.au/homes/faq-hub/,—
7,Licensing,For homeowners,Service / Category,—,—,—,https://hipages.com.au/content/all_licensing,—
8,Council regulations,For homeowners,Service / Category,—,—,—,https://hipages.com.au/content/council,—
9,Trust & quality,For homeowners,Service / Category,—,—,—,https://hipages.com.au/trust,—
10,Job poster T&Cs,For homeowners,Service / Category,—,—,—,https://assets.hipages.com.au/hipagesJobPosterTerms20240708.pdf,—
11,Browse all categories,For homeowners,Service / Category,—,—,—,https://hipages.com.au/find/all,—
12,Homes,For homeowners,Service / Category,—,—,—,https://hipages.com.au/homes,—
13,Find tradies by name,For homeowners,Service / Category,—,—,—,https://hipages.com.au/tradie-names,—
14,Find trades by business,For homeowners,Service / Category,—,—,—,https://hipages.com.au/trade-business-names,—
15,List your business,For businesses,Service / Category,—,—,—,https://hipages.com.au/registration,—
16,hipages for business,For businesses,Service / Category,—,—,—,https://hipages.com.au/hipages-for-business,—
17,How hipages works,For businesses,Service / Category,—,—,—,https://hipages.com.au/registration/how-does-hipages-work,—
18,Membership packages,For businesses,Service / Category,—,—,—,https://hipages.com.au/membership-costs,—
19,Compare lead management,For businesses,Service / Category,—,—,—,https://hipages.com.au/registration/hipages-vs-airtasker-serviceseeking-oneflare,—
20,Compare job management,For businesses,Service / Category,—,—,—,https://hipages.com.au/registration/hipages-vs-servicem8-tradify-invoice2go,—
21,Testimonials,For businesses,Service / Category,—,—,—,https://hipages.com.au/registration/testimonials,—
22,Members login,For businesses,Service / Category,—,—,—,https://hipages.com.au/login,—
23,Tradie terms,For businesses,Service / Category,—,—,—,https://hipages.com.au/terms-conditions,—
24,hipages energy,For businesses,Service / Category,—,—,—,https://hipages.com.au/energy-tradie,—
25,About hipages Group,About,Service / Category,—,—,—,https://hipagesgroup.com.au,—
26,Careers at hipages,About,Service / Category,—,—,—,https://hipagesgroup.com.au/careers,—
27,Meet the team,About,Service / Category,—,—,—,https://hipagesgroup.com.au/our-team,—
28,Investor hub,About,Service / Category,—,—,—,https://investors.hipagesgroup.com.au,—
29,Contact us,About,Service / Category,—,—,—,https://hipages.com.au/contact-us,—
30,Compliments and complaints,About,Service / Category,—,—,—,https://hipages.com.au/tradie/feedback/,—
